File_Name,Date,Max_Size_1,Max_Size_2
d11.csv,1996336,48,9
d11.csv,1996336,48,9
c30.csv,2016001,9,3
c30.csv,2016001,9,3
b13.csv,1997054,16,5
b13.csv,1997054,16,5
a32.csv,1995057,41,21
a32.csv,1995057,41,21
a14.csv,1980349,30,20
a14.csv,1980349,30,20
b31.csv,2013216,21,12
b31.csv,2013216,21,12
a50.csv,2003096,10,1
a50.csv,2003096,10,1
c12.csv,1997061,12,6
c12.csv,1997061,12,6
a05.csv,1979301,15,10
a05.csv,1979301,15,10
d20.csv,2013175,28,11
d20.csv,2013175,28,11
a41.csv,1999031,13,8
a41.csv,1999031,13,8
c03.csv,1983023,25,20
c03.csv,1983023,25,20
b04.csv,1983184,18,4
b04.csv,1983184,18,4
a23.csv,1986271,56,39
a23.csv,1986271,56,39
d02.csv,1976347,20,15
d02.csv,1976347,20,15
b40.csv,2016001,8,5
b40.csv,2016001,8,5
c21.csv,2003068,22,11
c21.csv,2003068,22,11
c38.csv,2022074,16,10
c38.csv,2022074,16,10
a76.csv,2021134,89,14
a76.csv,2021134,89,14
b39.csv,2016001,8,4
b39.csv,2016001,8,4
a58.csv,2008188,11,2
a58.csv,2008188,11,2
d28.csv,2023160,30,19
d28.csv,2023160,30,19
a49.csv,2003001,10,1
a49.csv,2003001,10,1
b48.csv,2020038,12,2
b48.csv,2020038,12,2
c29.csv,2016001,7,5
c29.csv,2016001,7,5
a67.csv,2016001,8,4
a67.csv,2016001,8,4
c34.csv,2017120,11,5
c34.csv,2017120,11,5
a72.csv,2021022,11,4
a72.csv,2021022,11,4
d15.csv,2011242,55,29
d15.csv,2011242,55,29
a36.csv,1998123,14,7
a36.csv,1998123,14,7
b17.csv,2000114,47,12
b17.csv,2000114,47,12
c16.csv,2000268,26,10
c16.csv,2000268,26,10
a54.csv,2006050,30,13
a54.csv,2006050,30,13
b35.csv,2015226,11,7
b35.csv,2015226,11,7
a09.csv,1980013,20,10
a09.csv,1980013,20,10
a81.csv,2023027,28,25
a81.csv,2023027,28,25
d24.csv,2016001,6,5
d24.csv,2016001,6,5
c07.csv,1988073,20,10
c07.csv,1988073,20,10
a45.csv,2001245,13,4
a45.csv,2001245,13,4
b26.csv,2004060,11,4
b26.csv,2004060,11,4
a27.csv,1994275,14,6
a27.csv,1994275,14,6
b08.csv,1987102,15,10
b08.csv,1987102,15,10
c25.csv,2006085,7,6
c25.csv,2006085,7,6
a63.csv,2012344,11,3
a63.csv,2012344,11,3
d06.csv,1980132,21,13
d06.csv,1980132,21,13
b44.csv,2017272,15,5
b44.csv,2017272,15,5
a01.csv,1978295,45,25
a01.csv,1978295,45,25
a10.csv,1980041,20,15
a10.csv,1980041,20,15
c32.csv,2016001,7,5
c32.csv,2016001,7,5
a70.csv,2021008,8,5
a70.csv,2021008,8,5
d13.csv,1997002,14,4
d13.csv,1997002,14,4
b15.csv,2011268,11,7
b15.csv,2011268,11,7
a34.csv,1996245,22,21
a34.csv,1996245,22,21
d31.csv,2022028,16,2
d31.csv,2022028,16,2
a16.csv,1981319,35,15
a16.csv,1981319,35,15
b33.csv,2015058,11,2
b33.csv,2015058,11,2
a52.csv,2003040,22,10
a52.csv,2003040,22,10
c14.csv,2000058,18,7
c14.csv,2000058,18,7
d22.csv,2013314,12,3
d22.csv,2013314,12,3
a07.csv,1979315,25,10
a07.csv,1979315,25,10
b24.csv,2003040,12,6
b24.csv,2003040,12,6
c05.csv,1986075,38,21
c05.csv,1986075,38,21
b06.csv,1984057,20,20
b06.csv,1984057,20,20
a25.csv,1986292,28,8
a25.csv,1986292,28,8
d04.csv,1979266,30,10
d04.csv,1979266,30,10
b42.csv,2017097,17,5
b42.csv,2017097,17,5
a61.csv,2010024,14,4
a61.csv,2010024,14,4
c23.csv,2005100,6,3
c23.csv,2005100,6,3
a78.csv,2021239,18,4
a78.csv,2021239,18,4
a69.csv,2020178,19,10
a69.csv,2020178,19,10
c36.csv,2019032,23,16
c36.csv,2019032,23,16
a74.csv,2021064,30,18
a74.csv,2021064,30,18
a38.csv,1998284,80,26
a38.csv,1998284,80,26
b19.csv,2000163,23,4
b19.csv,2000163,23,4
c18.csv,2003005,11,5
c18.csv,2003005,11,5
a56.csv,2010318,15,7
a56.csv,2010318,15,7
b37.csv,2016001,8,3
b37.csv,2016001,8,3
d26.csv,2018103,19,2
d26.csv,2018103,19,2
c09.csv,1996098,17,7
c09.csv,1996098,17,7
a47.csv,2003005,14,9
a47.csv,2003005,14,9
b28.csv,2010318,11,7
b28.csv,2010318,11,7
a29.csv,1989358,20,10
a29.csv,1989358,20,10
c27.csv,2010024,10,5
c27.csv,2010024,10,5
a65.csv,2016001,9,3
a65.csv,2016001,9,3
d08.csv,1995099,8,6
d08.csv,1995099,8,6
b46.csv,2023160,18,5
b46.csv,2023160,18,5
a03.csv,1979035,25,10
a03.csv,1979035,25,10
c01.csv,1979245,15,40
c01.csv,1979245,15,40
b20.csv,2000268,26,10
b20.csv,2000268,26,10
a21.csv,1986208,29,22
a21.csv,1986208,29,22
b02.csv,1983009,20,10
b02.csv,1983009,20,10
a12.csv,1980202,15,10
